,JID,Abstract,New_item,New_clause,cat
11,"ULDV,110,婚,39,20210823,1",原告主張：雙方於民國108年結婚，並于雲林鬥南戶政事務所為結婚登記，雙方婚後並同住于原告位於雲林鎮之住處。惟因被告為香港人，婚後首次與原告長期居住于臺灣，於此期間嚴重無法適應臺灣生活環境，同時亦無意願參與社交活動或找尋工作，平日只在雙方住居所活動，原告為使被告儘快熟悉臺灣，亦勉力為被告安排活動，然均經被告斷然拒絕，致使雙方婚後之摩擦日益深重。嗣于結婚未滿半年之際，被告即以無法適應臺灣生活為由而返回香港，迄今逾一年之久，未再返台與原告共同生活。三、原告于被告返回香港期間，不斷詢問被告是否願意再返台維繫雙方婚姻，被告均表明拒絕來台，之後更與原告斷絕聯繫，時隔數月後，被告透過其母親傳訊要求原告自行至戶政事務所辦理雙方離婚之登記，原告乃于110年寄離婚協議書予被告，被告並同年月24日簽名同意離婚後寄回。被告上開行為，顯系惡意遺棄原告在繼續狀態中，因此請求法院判決離婚。,2,0,9
12,"ULDV,110,婚,38,20210706,1",原告主張：被告為越南國人，雙方於民國106年在越南結婚，並于同年7月21日在台辦理結婚登記。婚後被告來台與原告同住，然不久後即離家出走，經原告報警協尋，迄今3年餘仍行蹤不明，期間亦無聯絡原告，夫妻之間有名無實，已無繼續維持婚姻之必要，自有有難以維持婚姻之重大事由，且過失在於被告，因此請求法院判決離婚。,2,0,9
13,"ULDV,110,婚,33,20210730,1",原告主張：雙方已於臺灣辦理結婚登記，且婚後共同居住于雲林縣境，則依據前述規定意旨，本院自有管轄權，並應適用臺灣地區之法律為審判依據。因此原告請求法院判決離婚。,1,5,3
14,"ULDV,110,婚,3,20210706,1",原告主張：雙方于民國101年於大陸地區結婚，並于同年8月6日在臺灣辦妥結婚登記，現婚姻關係存續中。被告自107年間回去大陸後即未再回到臺灣，原告打電話問被告，被告表示要照顧父母不回臺灣，也想要與原告離婚，期間雙方只有偶爾聯絡，雙方已經3年多沒有同居，而既然被告無法來臺灣，原告亦無法前往大陸，夫妻關係有名無實，自有難予維持婚姻之重大事由，因此請求法院判決離婚。,2,0,9
15,"ULDV,110,婚,27,20210831,1",原告主張：被告為大陸地區人士。雙方於民國92年結婚，並於92年在我國辦理結婚登記，婚後被告來台與原告同住，未料被告在結婚過後20日即無故離家，迄今仍未返家與原告同居，亦無與原告聯絡，嗣後原告更收到大陸地區離婚判決書。而雙方分居至今已經長達18年餘，空有婚姻之名，而無婚姻之實，已失卻婚姻系以夫妻共同生活為目的之意義，又此分居之事由非可歸責于原告，再雙方無複合或維持婚姻之可能，有難以維持婚姻之重大事由。因此原告請求法院判決離婚。,2,0,9
16,"ULDV,110,婚,24,20211019,1",原告主張：雙方于民國95年於大陸地區結婚，婚後被告來台與原告同居生活，並於102年取得我國籍，現婚姻關係存續中。被告自106年返回大陸後即未再回到臺灣，被告剛回去的時候有聯絡，之後半年或是1年原告會傳訊息給被告，被告向原告表明不再過來臺灣，而原告也沒有考慮去大陸生活，兩人分居迄今已經4年多，而既然被告無法來臺灣，原告亦無法前往大陸，夫妻關係有名無實，自有難予維持婚姻之重大事由，因此請求法院判決離婚。,2,0,9
17,"ULDV,110,婚,23,20210429,1",原告主張：被告為泰國籍人，雙方於民國94年結婚，並於94年在我國辦理結婚登記，婚後被告來台與原告同住，未料，被告竟于108年間無故離家，此後音訊全無，行蹤不明，因此請求法院判決離婚。,1,5,3
18,"ULDV,110,婚,2,20210706,1",原告主張：雙方於民國82年結婚，育有3名子女均已成年，現婚姻關係存續中。被告長期滯留大陸沒有盡到家庭責任，3名子女從國中、高中、大學都是自己分期付款完成學業，被告根本沒有照顧3名子女，原告並獨自背負10幾年債務，而被告有時回到臺灣也很少聯絡原告，雙方已經分房5、6年，且原告也1年多未曾見到被告，因此請求法院判決離婚。,2,0,9
19,"ULDV,110,婚,16,20210421,1",原告主張：雙方於107年結婚，因被告外遇，嗣於109年8月間離家未歸，經多次勸歸，仍置不理，經原告聲請本院109年度家婚聲字第38號裁定被告應履行同居確定，惟被告仍未履行同居義務。為此，請求法院判決離婚。,1,5,3
20,"ULDV,110,婚,14,20211019,1",原告主張：雙方于民國89年於大陸地區結婚，並於90年在臺灣辦妥結婚登記，婚後被告來臺灣住了快1個月後就離家出走，雖於過完年後曾有回家，但沒多久就又再次離家，並於96年出境離開臺灣，迄今均未再返家，期間亦無任何聯繫，雙方分居已經十幾年，夫妻之間有名無實，因此請求法院判決離婚。,2,0,9
21,"ULDV,110,婚,12,20210825,1",原告主張：雙方於民國103年結婚，被告婚後從大陸來台與原告同住，然被告于103年返回大陸後，即未回臺灣與原告履行同居義務，原告乃向本院聲請裁定命被告應與原告同居確定在案，然被告迄今仍未與原告履行同居義務，其顯系惡意遺棄原告于繼續狀態之中，因此請求法院判決離婚。,1,5,3
22,"ULDV,110,婚,1,20210331,1",原告主張：被告為越南國籍人，雙方於民國106年結婚，並於106年在我國辦理結婚登記，婚後被告來台與原告同住于雲林縣住處，被告于106年11月間無故離家，音訊全無，行蹤不明，因此請求法院判決離婚。,1,5,3
23,"ULDV,109,婚,99,20201027,1",原告主張：雙方於民國107年結婚，無生育子女，惟婚後被告共回去越南探親2次，不料於108年返回越南探親並於108年入境後，即未返回雙方位於雲林縣台西鄉之住處，原告于109年向鈞院聲請被告應履行同居之義務，經鈞院於109年4月6日以109年度家婚聲字第4號裁定命被告與原告履行同居確定，惟被告迄今仍未返家與原告履行夫妻同居義務，顯系惡意遺棄原告在繼續狀態中，因此請求法院判決離婚。,1,5,3
24,"ULDV,109,婚,95,20201118,1",原告主張：雙方於民國83年結婚，現婚姻關係存續中，被告于98年出境後，就未再回家，不知去向，迄今分居逾11年，空有婚姻之名，而無婚姻之實，已無婚姻之實質關係，為此原告請求法院判決離婚。,2,0,9
25,"ULDV,109,婚,91,20201231,1",原告主張：被告為大陸地區人民。雙方於民國98年在大陸地區結婚，婚後被告于99年來台與原告同住于雲林縣，並於99年在臺灣辦理結婚登記，嗣與原告一起至臺北工作，並同住於新北市新莊區之套房，起初雙方相處正常，後來被告母親來探親，被告就變了一個人，之後雙方又工作一陣子，因原告母親生病，原告本來希望被告回雲林照顧原告母親，但被告則說其母親亦生病，欲回大陸探視其母親，被告于100年出境返回大陸後即未再返回臺灣與原告同住，電話也打不通，被告無故離家迄今逾9年，期間原告曾請嫁來臺灣之被告阿姨聯絡被告，之後被告阿姨離婚亦消失無蹤，原告無法聯絡被告。甚且，雙方共同生活之圓滿幸福已無可期待，因此請求法院判決離婚。,2,0,9
26,"ULDV,109,婚,79,20210825,1",原告主張：雙方於民國108年結婚，被告婚後從越南來台與原告同住，然被告于108年8日無故離家出走，經原告向警方報案被告失蹤，嗣經警尋獲被告後，被告雖于108年12月16日上午有返家，但於翌日下午即再次無故離家，之後就完全失聯，原告于108年12月19日至內政部移民署通報，嗣被告因簽證到期，而於109年被遣送回越南，被告返回越南後，即未與原告聯絡，原告乃向本院聲請裁定命被告應與原告同居確定在案，然被告迄今仍未與原告履行同居義務，其顯系惡意遺棄原告于繼續狀態之中，因此請求法院判決離婚。,1,5,3
27,"ULDV,109,婚,78,20200902,1",原告主張：雙方於民國73年結婚，現婚姻關係存續中，婚後所育子女均已長大成年，惟被告仍在外與第三人同居，並於81年生下第三人陳煜翔，嗣經被告認領，有第三人陳晚芳、陳煜翔等人戶籍本可按。雙方婚姻已無可期待，認被告有外遇、惡意遺棄、及雙方有難以維持婚姻之重大事由，為此原告請求法院判決離婚。,2,0,9
28,"ULDV,109,婚,76,20200818,1",原告主張：雙方於民國101年結婚，並育有未成年子女乙、丁，惟被告于105年因違犯槍炮彈藥刀械管制條例案，經本院刑事庭以105年度重訴字第14號判決判處應執行有期徒刑7年定案，被告為躲避上開刑罰之執行，竟離家藏匿無蹤，遂遭臺灣雲林地方檢察署發佈通緝在案，迄今逾2年，期間被告全無音訊、對家庭毫無聞問，獨留原告扶養上開未成年子女。而原告目前已前往台中工作，上開未成年子女由被告之母照顧，且被告之母未與雙方同住。是被告棄原告及上開未成年子女之生活於不顧，可見夫妻感情形同破裂，雙方間婚姻關係已生重大破綻，又此分居之事由非可歸責于原告，再雙方無複合或維持婚姻之可能，有難以維持婚姻之重大事由。因此原告請求法院判決離婚。,2,0,9
29,"ULDV,109,婚,72,20210512,1",原告主張：被告為大陸地區人士。雙方於民國106年結婚，嗣相對人於108年起，離家未歸，未履行同居義務，經原告聲請本院109年度家婚聲字第5號裁定被告應履行同居確定，惟被告仍未履行同居義務；而且被告已在大陸地區聲請離婚判決（原告尚未取得確定證明），認雙方有難以維持婚姻之重大事由，為此，請求法院判決離婚。,2,0,9
30,"ULDV,109,婚,58,20200630,1",原告主張：雙方於民國107年結婚，被告于民國108年將其衣物搬走並離開雙方住處，並斷絕聯繫，經鈞院於109年以109年度家婚聲字第3號裁定命被告與原告履行同居確定，惟被告迄今仍未返家與原告履行夫妻同居義務，顯系惡意遺棄原告在繼續狀態中。又被告迄今未與原告聯絡，顯然已對原告感情盡失，因此請求法院判決離婚。,2,0,9
31,"ULDV,109,婚,57,20201014,1",原告主張：被告為越南籍人氏。雙方于民國107年在越南結婚，並於108年在台辦理結婚登記。而被告前曾來臺灣工作，被抓到後遣返回越南並禁止入境3年，因雙方結婚之故，可以向移民署申請解除被告之入境管制，但須被告之護照資料，經原告多次以facebook及電話向被告索取其護照資料，惟被告迄未將護照交付，亦不說明原因，致原告無法向移民署辦理解除被告之入境管制，其後於108年9月間，被告以電話聯繫東南亞旅行社，表示要跟原告離婚，該旅行社工作人員以電話告知，並經原告同意，惟該旅行社人員告訴要辦離婚，需要費用新臺幣4萬元及2個證人，原告找了2個朋友攜帶資料送去越南河內並簽名見證，被告並未到場簽名。因此請求法院判決離婚。,1,5,3
32,"ULDV,109,婚,53,20200630,1",原告主張：雙方本為夫妻關係，于民國68年結婚迄今，雙方育有一對子女即長子林建岐、長女林喜雯，由於長女林喜雯自幼即罹患智慧障礙，無法自理生活起居，均由原告親自照護，且因被告無固定職業及收入，雙方生活極為艱苦，原告為了家計外出打工貼補家用，長即交由被告照護，但被告極不耐煩，雙方常為此發生爭執，嗣於96年間，原告不得已遂將長女送至桃園市財團法人臺灣省私立啟智技藝訓練中心安置，然被告亦因不耐原告之數落，負氣離家出走至今，完全置家中老小于不顧，被告離家後，原告仍于雙方原住處居住8年才搬至目前住所，原告于6年前曾多次要求被告給付子女的養護費或乾脆辦理離婚，被告雖口頭允諾，但事後即拒接原告電話，音訊全無，至今雙方已分居14年余，夫妻之間有名無實，婚姻實無維持下去必要，因此請求法院判決離婚。,2,0,9
33,"ULDV,109,婚,52,20200706,1",原告主張：雙方於民國70年結婚，被告于雙方子女尚年幼時，即將子女全部交給原告照顧，不顧家庭，並在外養女人，且於100年離家後未歸，被告顯系惡意遺棄原告及子女，又被告離家至今生死不明已逾3年，因此請求法院判決離婚。,1,9,7
34,"ULDV,109,婚,51,20200930,1",原告主張：被告為大陸地區人民，雙方於民國88年結婚，現婚姻關係存續中。惟結婚後，被告于2001年即民國90年出境後，距今長達20年之久未聯繫，因認雙方有難以維持婚姻之重大事由，因此請求法院判決離婚。,2,0,9
35,"ULDV,109,婚,46,20201231,1",原告主張：被告為越南國人，雙方於民國105年結婚，婚後被告來台與原告同住于雲林縣大埤鄉嘉興94號，不料被告竟于108年離家出走，經原告四處尋找未獲，乃訴請鈞院108年度家婚聲字第22號命被告應履行與原告同居之義務確定，但迄今被告仍未履行同居，顯系惡意遺棄原告。因此請求法院判決離婚。,2,0,9
36,"ULDV,109,婚,43,20200630,1",原告主張：被告為大陸地區人士。雙方於民國91年結婚，並於91年在我國辦理結婚登記，婚後被告來台與原告同住，料，被告于91年2月25日無故離家出走，自此音訊全無，未再返家與原告同居，雙方分居迄今逾18年餘，空有婚姻之名，而無婚姻之實，已失卻婚姻之意義，又此分居之事由非可歸責于原告，再雙方無複合或維持婚姻之可能，有難以維持婚姻之重大事由。因此原告請求法院判決離婚。,2,0,9
37,"ULDV,109,婚,42,20200915,1",原告主張：雙方于民國98年於大陸地區結婚，婚後被告來台與原告同住，嗣被告于107年返回大陸後即不再回來，兩人間少有聯絡，僅有時被告會用通訊軟體「微信」打電話給原告聊一下天，原告要被告回來臺灣，被告卻表示臺灣不好賺錢，要在大陸那邊跟被告與前夫所生之子經營賣中古車的生意，而被告不回臺灣已經2年多時間，不履行夫妻間義務，雙方夫妻有名無實，任何人在這種狀況下，也不想要再維持婚姻，雙方婚姻已無存在的必要，已有難以維持婚姻之重大事由，因此請求法院判決離婚。,2,0,9
38,"ULDV,109,婚,40,20200630,1",原告主張：被告為越南國籍人，雙方於民國87年結婚，並於87年在我國辦理結婚登記，婚後被告來台與原告同住，未料，被告于105年間無故離家，並帶雙方所生之未成年子女丙返回越南，此後行方不明，未料，被告于105年間無故離家，並帶雙方所生之未成年子女丙返回越南，此後行方不明，未料，被告于105年間無故離家，並帶雙方所生之未成年子女丙亦無與原告聯繫，而雙方所生子女乙（男，88年生，現已成年）權利義務之行使或負擔，亦經本院107年以107年度家親聲字第129號裁定由原告單獨任之。被告雖曾自越南打電話回來商談未成年子女丙之事，表示未成年子女丙因有臺灣戶籍但無越南戶籍而遭警查獲，並遭處罰款，並向原告索取金錢，但被告並無任何返台之表示，其迄今均未再返台與原告同居，雙方分居已長達3年餘，空有婚姻之名，而無婚姻之實，已失卻婚姻之實，已失卻婚姻之實，已失卻婚姻之實，已失卻婚姻之實，已失卻婚姻之實，因此請求法院判決離婚。,2,0,9
39,"ULDV,109,婚,39,20200730,1",原告主張：雙方於民國92年結婚，被告婚後從大陸來台與原告同住在雲林縣，然被告于99年因罹患疾病要返回大陸治病，而從臺灣出境後，即未再與原告聯絡，也未再入境臺灣，已逾10年全無被告音訊，不知被告是生是死，因此請求法院判決離婚。,1,5,3
40,"ULDV,109,婚,34,20200915,1","原告主張：雙方于民國107年在越南登記結婚，婚後被告于108年入境來台與原告同住，嗣於108年6月16日被告表示欲返回越南參加其妹婚禮，期間約1、2個禮拜，因尚不知回台確切日期，故僅購買單程機票，原告待被告通知，始幫被告購買回程機票，惟後來被告卻以line通知原告表示因不適應臺灣生活，不想再回臺灣，若要被告回臺灣，須給予越南盾5,000萬元（相當於新臺幣7、8萬元）等語，為原告所拒，此後被告即未再返回臺灣與原告同住，原告乃向本院請求被告履行同居，經本院於108年10月31日以108年度家婚聲字第31號裁定命被告與原告履行同居（惟尚未確定），惟被告迄今仍未返家與原告履行夫妻同居義務，被告顯系惡意遺棄原告在繼續狀態中，且在越南已另與他人結婚，雙方間亦有難以維持婚姻之重大事由存在，因此請求法院判決離婚。",1,5,3
41,"ULDV,109,婚,32,20200930,1",原告主張：被告為大陸地區人士。雙方於民國107年結婚，並於108年在我國辦理結婚登記，婚後被告來台與原告同住，被告于108年無故離家，出境返回大陸後，迄今未歸，經原告聲請本院以108年度家婚聲字第34號裁定命被告履行同居之義務確定，惟被告僅于109年以微信通訊軟體與原告聯絡，表示其有收到上開履行同居裁定，但仍不願意返台與原告同居等語，嗣於本件離婚訴訟進行中之109年以微信通訊軟體再次向原告表示不願返回臺灣等語，迄今仍未履行同居，是被告顯系惡意遺棄原告在繼續狀態中。因此請求法院判決離婚。,1,5,3
42,"ULDV,109,婚,28,20200528,2",原告主張：雙方於民國108年結婚，婚後被告從越南來台與原告同住在雲林縣住在雲林縣之住處，惟被告于108年離家出走，經原告四處尋找未獲，乃向本院聲請命被告應與原告同居確定在案，惟被告迄今仍未與原告履行同居義務，被告顯系惡意遺棄原告于繼續狀態中，因此請求法院判決離婚。,1,5,3
43,"ULDV,109,婚,25,20200520,1",原告主張：被告為大陸地區人民。雙方於民國90年結婚，現婚姻關係存續中，被告于105年間，表示要出去賺錢，即不知去向，可能又結交新的男朋友，認有惡意遺棄原告在繼續狀態中，為此，請求法院判決離婚。,1,5,3
44,"ULDV,109,婚,20,20200730,2",原告主張：雙方於民國107年結婚，108年為結婚登記，婚後被告從越南來台與原告同住在雲林縣，惟被告于108年返回越南後，即未再回台，被告透過仲介表示想離婚，不會再回臺灣，經原告前向本院聲請裁定命被告應與原告同居確定在案，惟被告迄今仍未與原告履行同居義務，被告顯系惡意遺棄原告于繼續狀態中，因此請求法院判決離婚。,1,5,3
45,"ULDV,109,婚,19,20200908,1",原告主張：雙方於民國107年結婚，被告于民國108年離家未歸，不知去向，原告乃向本院請求被告履行同居，經本院於108年11月26日以108年度家婚聲字第41號裁定命被告與原告履行同居確定，惟被告迄今仍未返家與原告履行夫妻同居義務，顯系惡意遺棄原告在繼續狀態中，因此請求法院判決離婚。,1,5,3
46,"ULDV,109,婚,18,20200630,1",原告主張：被告為越南國籍人，雙方於民國106年結婚，並於106年在我國辦理結婚登記，婚後被告來台與原告同住于雲林縣，惟雙方間因生活理念不合、夫妻溝通不良及家族相處不睦等問題，迭起爭執，被告于107年將其私人物品搬離並返回越南，經原告屢次催促被告返台履行同居義務未果，原告乃訴請本院107年度家婚聲字第34號裁定命被告履行同居之義務確定，惟被告仍未履行同居，足見被告亦無維持雙方婚姻之意欲，雙方間婚姻已喪失互信、互愛、互諒之基礎，無法共同協力建立和諧美滿幸福之家庭，已無法達成實質夫妻生活之婚姻目的，又此分居之事由非可歸責于原告，再雙方無複合或維持婚姻之可能，有難以維持婚姻之重大事由。因此原告請求法院判決離婚。,2,0,9
47,"ULDV,109,婚,14,20200630,1",原告主張：被告為印尼國人，雙方於民國85年結婚，並于86年向戶政機關申辦結婚登記，婚後被告來台與原告同住于雲林縣，雙方夫妻感情初尚融洽。嗣被告表示要返回印尼探視其母，並於107年返回印尼後，即向原告表示不願返台，複於108年再向原告表示不願返台且機票超過時間，迄未返台與原告同居，亦未再與原告互動，處於惡意遺棄原告且持續之狀態。因此請求法院判決離婚。,2,0,9
48,"ULDV,109,婚,136,20210823,1",原告主張：被告為越南籍人氏。雙方于民國107年在越南登記結婚，婚後被告來台與原告同住，未料被告于108年出境返回越南後，迄今仍未返家，亦無法聯絡，前經原告聲請並由本院108年度家婚聲字第28號裁判履行同居確定，仍未履行同居義務，顯系惡意遺棄原告在繼續狀態中，因此請求法院判決離婚。,1,5,3
49,"ULDV,109,婚,13,20200729,1",原告主張：被告為大陸地區人士，雙方于民國104年結婚，相對人於106年回家大陸，至今未歸，聲請人手機也被相對人設為黑名單，無法聯絡，未履行同居義務，嗣經原告聲請本院107年度家婚聲字第40號裁定被告應履行同居確定，惟被告仍未履行同居義務。為此，請求法院判決離婚。,1,5,3
50,"ULDV,109,婚,128,20210825,1",原告主張：雙方於民國104年結婚，被告婚後從越南來台與原告同住，然被告于108年返回越南後，即切斷與原告之聯絡管道，原告乃向本院聲請裁定命被告應與原告同居確定在案，然被告迄今仍未與原告履行同居義務，其顯系惡意遺棄原告于繼續狀態之中，因此請求法院判決離婚。,1,5,3
51,"ULDV,109,婚,127,20210825,1",原告主張：雙方於民國108年為結婚登記，被告婚後從越南來台與原告同住，然被告于108年返回越南後，即以電話告知原告不過來臺灣了，原告乃向本院聲請裁定命被告應與原告同居確定在案，然被告迄今仍未與原告履行同居義務，其顯系惡意遺棄原告于繼續狀態之中，因此請求法院判決離婚。,1,5,3
52,"ULDV,109,婚,125,20210420,1",原告主張：原告于民國7月1日與越南國人即被告張氏泉(truongthituyen)在越南國芹市辦理公開宴客，並經我國駐胡志明市臺北辦事處境外面談通過，申請外交部簽證來台依親同居，惟被告于108年6月初稱其思念父母，希望原告同意其隻身短暫回越南省親，並承諾將于同年7月3日再回台，以協助家人和家人聯繫電話、line、臉書等聯絡管道封鎖，並緊急聯繫在越南之聯絡人查詢被告行蹤，惟仍音訊渺無，因此請求法院判決離婚。,1,5,3
53,"ULDV,109,婚,122,20201230,1",原告主張：雙方於民國78年結婚，被告婚後工作不順，導致很多負債，被告會請原告向親朋好友借錢周轉，原告也因此負債而遭催討，又被告在外另有女性交往物件，原告從行車紀錄器還發現被告有載女性前往汽車旅館，原告因此事與被告爭執時，被告還有出手打原告，被告曾經跟原告提過離婚，但原告為維持家庭圓滿，故未回應被告離婚之要求，搬離雙方住處後返回其戶籍地居住，而被告在外交往對象目前亦已遷入被告戶籍地，並與被告同住在被告戶籍地，雙方已分居一年多，因此請求法院擇一事由，而被告搬離雙方住處後即未與原告聯絡，雙方有難以維持婚姻之重大事由，因此請求法院擇一事由，而被告搬離雙方住處後即未與原告聯絡，雙方有難以維持婚姻之重大事由，因此請求法院擇一事由，而被告搬離雙方住處後即未與原告聯絡，雙方有難以維持婚姻之重大事由，因此請求法院擇一事由，而被告搬離雙方住處後即未與原告聯絡，雙方有難以維持婚姻之重大事由，因此請求法院擇一事由，而被告搬離雙方住處後即未與原告聯絡，雙方有難以維持婚姻之重大事由，因此請求法院擇一事由，而未與原告聯絡，因此請求法院擇一事由，而請求法院擇一事由，而未與原告聯絡。,2,0,9
54,"ULDV,109,婚,120,20210331,1",原告主張：被告為越南國籍人，原告經由親友介紹在臺灣與被告認識，被告回去越南後，雙方於民國108年結婚，並於108年在我國辦理結婚登記，未料，被告婚後並無來台與原告生活，且於110年與原告最後一次聯繫後，即全無消息，甚至，被告也已經向越南國芹苴市人民法院提起離婚訴訟，可知被告並無維持婚姻的意願，雙方的婚姻顯然難以繼續，為此依法請求法院判決離婚。,2,0,9
55,"ULDV,109,婚,116,20201230,1",原告主張：被告為越南國籍人，雙方於民國108年結婚，並於108年在我國辦理結婚登記，婚後被告來台與原告同住，被告于108年10月14日無故離家後，音訊全無，原告乃訴請本院108年度家婚聲字第39號裁定命被告履行同居之義務確定，惟被告迄今仍未返家履行同居，亦無與原告聯繫，是被告顯系惡意遺棄原告在繼續狀態中。因此請求法院判決離婚。,1,5,3
56,"ULDV,109,婚,111,20201230,1",原告主張：被告為越南國籍人，雙方於民國88年結婚，並於88年在我國辦理結婚登記，婚後被告來台與原告同住，被告來台僅與原告生活2年余，於90年間即無故離家返回越南，此後行蹤不明，毫無音訊，原告無法尋得被告下落，而被告至今未再入境臺灣，期間亦未與原告聯繫，迄未盡夫妻共同生活義務已長達19年之久，其主觀上並無來台繼續共同經營夫妻生活之意思存在，顯見被告已無意維持雙方間之婚姻關係。因此原告請求法院判決離婚。,2,0,9
